Place,TOWN,Max_of_MED_INC,Min_of_MED_INC,Max_of_MED_AGE,Min_of_MED_AGE,ALAND,TOT_POP,COLL_AGE,YNG_PROF,SENIOR,R_WHITE,NON_WH,R_BLACK,R_NAT_A,R_ASIAN,R_PACIF,R_OTHER,R_2,R_2INCO,R_2_EXCO,TOT_WKRS,T0_9,T10_14,T15_19,T20_24,T25_29,T30_34,T35_44,T45_59,T60,DR_ALONE,CARPOOL,TRANSIT,TR0_9,TR10_14,TR15_19,TR20_24,TR25_29,TR30_34,TR35_44,TR45_59,TR60,WALK,TOT_HSHD,TPOP18,TOT_DIS,OC_UNITS,ZERO_VEH
Hyde Park,Boston,103333,17917,66.7,26,12899518,35399,1831,6433,4403,12178,24726,17487,214,647,0,3368,1505,480,1025,16223,749,1015,1439,2485,977,3670,1690,1930,2268,10464,1726,3476,17,85,34,253,43,286,550,675,1533,483,12119,26693,3368,12119,1823
Industrial Park,Somerville,17500,17500,66.4,66.4,1015512,426,0,19,246,353,81,0,0,65,0,0,8,8,0,112,0,33,13,9,0,27,17,13,0,74,9,8,0,0,0,0,0,0,0,8,0,0,288,381,124,288,129
Jamaica Plain,Boston,180417,15449,66.6,23.4,7200742,28105,1159,9001,3159,18635,10645,3822,56,1364,0,3053,1175,279,896,15973,945,1119,1682,2575,1272,3631,1576,1922,1251,5995,877,6768,12,79,545,785,645,1965,838,1059,840,1071,11630,22785,2250,11630,2767
Lexington,Lexington,184821,76354,56.2,37,42563359,32306,1142,2284,5919,23678,9637,368,61,7082,0,108,1009,26,983,13260,1170,1171,1517,1699,810,1933,1611,1998,1351,10784,951,1078,9,0,23,27,30,18,31,453,487,179,11594,23430,1973,11594,629
Lincoln,Lincoln,230278,79063,52.1,18,36852688,7181,149,762,1017,6039,1342,285,0,494,0,163,200,0,200,2889,430,309,342,256,183,479,213,394,283,2245,195,189,16,0,0,0,0,0,32,44,97,151,2502,4543,321,2502,93
Littleton,Littleton,146339,75357,48.8,41.4,42793834,9157,430,1025,1274,8414,1015,24,0,432,0,15,272,31,241,4501,728,519,405,392,161,694,396,551,655,3966,312,149,0,0,0,0,0,0,0,30,119,47,3346,6919,741,3346,176
Lowell,Lowell,108025,11300,55.2,19.3,35179774,108491,8325,24711,11309,61895,50256,7545,337,22714,34,12306,3660,1408,2252,48984,4904,7250,8412,7404,2804,7298,2965,4519,3428,37651,6336,1749,48,51,127,88,72,133,94,289,847,2515,38639,80101,12474,38639,6455
Magoun Square,Somerville,90938,75897,37.6,32.9,267673,1819,40,643,168,1462,372,109,6,188,0,39,15,0,15,1122,150,82,202,108,48,159,120,149,104,629,113,218,0,0,0,0,0,0,63,63,92,97,806,1607,144,806,136
Malden,Malden,118618,12458,54.8,26.6,13063242,60309,3139,14837,6602,33757,29196,7968,143,14338,0,1459,2644,407,2237,30205,1838,1679,3199,3034,1654,5996,3652,4614,4539,15606,3637,9395,15,57,238,385,375,1653,1443,2423,2806,1045,22851,48660,5788,22851,4703
Marlborough,Marlborough,131780,44250,52.6,31.2,54041930,39141,1318,7509,5046,31222,12281,804,41,1786,0,926,4362,450,3912,21339,2540,2932,2856,2788,1191,2772,1553,2094,2613,17570,2892,331,0,83,24,0,6,30,16,31,141,268,15740,30770,3107,15740,1187
